,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
194,Alkoholunfälle,insgesamt,2006,200612,52.0
195,Alkoholunfälle,insgesamt,2005,Summe,600.0
196,Alkoholunfälle,insgesamt,2005,200501,48.0
197,Alkoholunfälle,insgesamt,2005,200502,40.0
198,Alkoholunfälle,insgesamt,2005,200503,40.0
199,Alkoholunfälle,insgesamt,2005,200504,40.0
200,Alkoholunfälle,insgesamt,2005,200505,48.0
201,Alkoholunfälle,insgesamt,2005,200506,57.0
202,Alkoholunfälle,insgesamt,2005,200507,63.0
203,Alkoholunfälle,insgesamt,2005,200508,48.0
204,Alkoholunfälle,insgesamt,2005,200509,76.0
205,Alkoholunfälle,insgesamt,2005,200510,57.0
206,Alkoholunfälle,insgesamt,2005,200511,42.0
207,Alkoholunfälle,insgesamt,2005,200512,41.0
208,Alkoholunfälle,insgesamt,2004,Summe,659.0
209,Alkoholunfälle,insgesamt,2004,200401,42.0
210,Alkoholunfälle,insgesamt,2004,200402,48.0
211,Alkoholunfälle,insgesamt,2004,200403,44.0
212,Alkoholunfälle,insgesamt,2004,200404,37.0
213,Alkoholunfälle,insgesamt,2004,200405,55.0
214,Alkoholunfälle,insgesamt,2004,200406,58.0
215,Alkoholunfälle,insgesamt,2004,200407,67.0
216,Alkoholunfälle,insgesamt,2004,200408,58.0
217,Alkoholunfälle,insgesamt,2004,200409,79.0
218,Alkoholunfälle,insgesamt,2004,200410,68.0
219,Alkoholunfälle,insgesamt,2004,200411,51.0
220,Alkoholunfälle,insgesamt,2004,200412,52.0
221,Alkoholunfälle,insgesamt,2003,Summe,730.0
222,Alkoholunfälle,insgesamt,2003,200301,55.0
223,Alkoholunfälle,insgesamt,2003,200302,44.0
224,Alkoholunfälle,insgesamt,2003,200303,53.0
225,Alkoholunfälle,insgesamt,2003,200304,50.0
226,Alkoholunfälle,insgesamt,2003,200305,65.0
227,Alkoholunfälle,insgesamt,2003,200306,82.0
228,Alkoholunfälle,insgesamt,2003,200307,76.0
229,Alkoholunfälle,insgesamt,2003,200308,66.0
230,Alkoholunfälle,insgesamt,2003,200309,63.0
231,Alkoholunfälle,insgesamt,2003,200310,74.0
232,Alkoholunfälle,insgesamt,2003,200311,44.0
233,Alkoholunfälle,insgesamt,2003,200312,58.0
234,Alkoholunfälle,insgesamt,2002,Summe,803.0
235,Alkoholunfälle,insgesamt,2002,200201,44.0
236,Alkoholunfälle,insgesamt,2002,200202,49.0
237,Alkoholunfälle,insgesamt,2002,200203,61.0
238,Alkoholunfälle,insgesamt,2002,200204,65.0
239,Alkoholunfälle,insgesamt,2002,200205,58.0
240,Alkoholunfälle,insgesamt,2002,200206,74.0
241,Alkoholunfälle,insgesamt,2002,200207,84.0
242,Alkoholunfälle,insgesamt,2002,200208,71.0
243,Alkoholunfälle,insgesamt,2002,200209,107.0
244,Alkoholunfälle,insgesamt,2002,200210,83.0
245,Alkoholunfälle,insgesamt,2002,200211,44.0
246,Alkoholunfälle,insgesamt,2002,200212,63.0
247,Alkoholunfälle,insgesamt,2001,Summe,848.0
248,Alkoholunfälle,insgesamt,2001,200101,66.0
249,Alkoholunfälle,insgesamt,2001,200102,49.0
250,Alkoholunfälle,insgesamt,2001,200103,63.0
251,Alkoholunfälle,insgesamt,2001,200104,68.0
252,Alkoholunfälle,insgesamt,2001,200105,85.0
253,Alkoholunfälle,insgesamt,2001,200106,68.0
254,Alkoholunfälle,insgesamt,2001,200107,71.0
255,Alkoholunfälle,insgesamt,2001,200108,60.0
256,Alkoholunfälle,insgesamt,2001,200109,107.0
257,Alkoholunfälle,insgesamt,2001,200110,77.0
258,Alkoholunfälle,insgesamt,2001,200111,68.0
259,Alkoholunfälle,insgesamt,2001,200112,66.0
260,Alkoholunfälle,insgesamt,2000,200001,78.0
261,Alkoholunfälle,insgesamt,2000,200002,53.0
262,Alkoholunfälle,insgesamt,2000,200003,73.0
263,Alkoholunfälle,insgesamt,2000,200004,78.0
264,Alkoholunfälle,insgesamt,2000,200005,96.0
265,Alkoholunfälle,insgesamt,2000,200006,57.0
266,Alkoholunfälle,insgesamt,2000,200007,99.0
267,Alkoholunfälle,insgesamt,2000,200008,77.0
268,Alkoholunfälle,insgesamt,2000,200009,84.0
269,Alkoholunfälle,insgesamt,2000,200010,83.0
270,Alkoholunfälle,insgesamt,2000,200011,71.0
271,Alkoholunfälle,insgesamt,2000,200012,85.0
